"Id","IsDeleted","Name","APEmail","APAddress","APPhoneNumber","SoldById","PrimaryOuId","ClientSignDate","CreatedDate","CreatedById","City","State","ZipCode","IsRateVisible","StatusId","PrimaryAPEmail","InvoiceTypeId","BCCEmail","CCEmail","IsModified","ModifiedBy","EligibleForRateIncrease","Notes","UpdatedDate"
"0FC18F7D-C662-4813-8A23-08DB1065AA67","False","Struck Inc","finance@struck.com","257 East 200 South, Suite 150","(801)531-0122","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-02 00:00:00.000000","2023-02-16 22:21:32.628331","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","Utah","84111","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","finance@struck.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","","",""
"E0132BE0-C3A0-4DFE-428D-08DB1131CC9A","False","Onrecord Title ​","spencer@onrecordtitle.com","2890 E Cottonwood Pkwy Suite 450","(801)599-5703","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-16 00:00:00.000000","2023-02-17 21:56:18.666068","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Cottonwood Heights","UT","84121","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","spencer@onrecordtitle.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"F7B05C42-C22B-4C0D-8F55-08DB15BD253C","False","Robo Point Guard Inc","bill@robopg.com","5703 Emerald Brook Lane","(954)639-4060","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-17 23:00:00.000000","2023-02-23 19:50:14.873788","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","League City","TX","77573","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","bill@robopg.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2001-01-01 23:00:00","","2023-04-20 22:08:10.689833"
"10A07E8B-F46E-4C1D-8F57-08DB15BD253C","False","Josh Peak - Catalyst","jdpeakplatinum@gmail.com","949 NE Roselawn St","(225)281-9611","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-20 23:00:00.000000","2023-02-23 20:09:23.624403","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Portland","OR","97211","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","jdpeakplatinum@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","0001-01-01 23:00:00","","2023-02-23 20:25:41.617091"
"CE423CA4-3A1C-4D34-8F59-08DB15BD253C","False","YOURx Health","vbroussard@yourxhealth.com","26710 i45 North","(409)781-7979","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-21 00:00:00.000000","2023-02-23 20:36:33.280299","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Spring","TX","77386","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","vbroussard@yourxhealth.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"056C3E4E-E5D6-4D4B-8F5A-08DB15BD253C","False","Archer Mechanical - Catalyst","tony.rickards@archermech.com","2745 California Avenue","(801)673-7153","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-18 00:00:00.000000","2023-02-23 20:46:58.316100","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","UT","84104","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","tony.rickards@archermech.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"591A53BD-CC59-4B93-0298-08DB190FF997","False","Xact Light LLC - Catalyst","Rross@xactlight.net","35 N 1400 W","(801)615-9576","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-18 00:00:00.000000","2023-02-27 23:06:33.880559","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Lindon","UT","84042","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Rross@xactlight.net","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"65366BAE-B890-4FFF-F3F0-08DB1A809E26","False","We Crush Events - Catalyst","danielle@wecrushevents.com","12044 W Washington Blvd Unit 2W","(813)442-1082","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-26 23:00:00.000000","2023-03-01 19:01:24.130512","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Los Angeles","CA","90066","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","danielle@wecrushevents.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","0001-01-01 23:00:00","","2023-03-20 17:48:31.241987"
"E2481892-649F-41FE-EE75-08DB1AB75B7C","False","Select Builders - Catalyst","Yuli@select-builders.com","9223 Solon Rd, Suite C","(346)206-3103","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-27 00:00:00.000000","2023-03-02 00:45:01.919199","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Houston","TX","77064","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Yuli@select-builders.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"B0E45850-4A9D-45A5-C278-08DB1B5DF0D1","False","Nick Mitchell","nicholasmitchell286@gmail.com","3440 south 500 east #5","(801)995-1487","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-27 00:00:00.000000","2023-03-02 21:05:19.577213","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","UT","84106","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","nicholasmitchell286@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"1031E3E2-0720-497E-9650-08DB2BD0F151","False","Synergy Solution Group","julie@synergysolutiongroup.com","P.O. Box 21","(630)675-7373","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-13 23:00:00.000000","2023-03-23 22:32:04.755003","C73CFED1-5618-45BA-8186-08DAFF1D643C","Yorkville","IL","60560","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","julie@synergysolutiongroup.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-03-13 23:00:00","","2023-03-23 22:35:58.709765"
"506F4860-C3F8-4347-5053-08DB2EE8B2CC","False","Victor Romero","nvromero@yahoo.com","3940 West 4100 South","(801)652-3399","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-14 23:00:00.000000","2023-03-27 17:28:36.994667","C73CFED1-5618-45BA-8186-08DAFF1D643C","Salt Lake City","UT","84120","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","nvromero@yahoo.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-03-14 23:00:00","","2023-03-27 17:29:58.934717"
"A9F6BCD9-7471-4FB5-CEB9-08DB2F1F2FDC","False","Dripli","Kentricheson@outlook.com","899 n 120 e ","(801)703-4038","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-20 00:00:00.000000","2023-03-28 00:14:07.710014","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Spanish Fork","UT","84660","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Kentricheson@outlook.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"1A9D056D-8607-401B-CEBA-08DB2F1F2FDC","False","RefloDX LLC","rudy@reflodx.com","450 South Simmons Way, Suite #600","(801)885-3933","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-23 00:00:00.000000","2023-03-28 00:20:05.947983","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Kaysville","UT","84037","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","rudy@reflodx.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"2C23F727-211F-4948-0BFE-08DB3142454A","False","E y K 1998 LLC","Eric.teambassett@gmail.com","6594 old Mill Rd","(801)573-1713","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-15 00:00:00.000000","2023-03-30 17:35:12.028992","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Stansbury Park","UT","84074","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Eric.teambassett@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"8B9A723E-4848-4EAA-AFDE-08DB36C369B1","False","Next LvL Ai","nextlvlai@gmail.com","426 Commodore Ln","(503)880-9048","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-29 23:00:00.000000","2023-04-06 17:21:52.257557","C73CFED1-5618-45BA-8186-08DAFF1D643C","Saratoga Springs","UT","84045","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","nextlvlai@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-03-29 23:00:00","","2023-04-06 17:23:04.349355"
"171D3EB1-888E-486D-AFDF-08DB36C369B1","False","Integrity EPC Company","corey.staley@integrityepc.com","600 17th St. Suite 2800","(832)684-2405","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-28 23:00:00.000000","2023-04-06 17:55:09.525084","C73CFED1-5618-45BA-8186-08DAFF1D643C","Denver","CO","80202","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","corey.staley@integrityepc.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-03-28 23:00:00","","2023-04-06 18:10:03.303487"
"39AD4EFA-D08D-459B-1CFA-08DB3D4AAAA1","False","Wesley Marriott","wes@gatwickgames.com","560 S 100 W STE 15","(801)440-3333","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-04-01 00:00:00.000000","2023-04-15 00:45:10.248193","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Provo","UT","84601","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","wes@gatwickgames.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"64BF44E8-D5F9-487E-0B8D-08DB45B7D529","False","Kalo Clinical Research","b.johnson@kaloresearch.com","350 East 400 South Ste 237","(801)363-7353","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-04-18 23:00:00.000000","2023-04-25 18:06:46.050100","C73CFED1-5618-45BA-8186-08DAFF1D643C","Salt Lake City","UT","84111","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","b.johnson@kaloresearch.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-04-18 23:00:00","","2023-04-25 18:08:55.136689"
"C5A8D283-02BD-40F9-0B8E-08DB45B7D529","False","Funds Connected Inc","ronnastephens1@gmail.com","3390 w 4400 s","(801)890-5351","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-04-19 23:00:00.000000","2023-04-25 18:19:00.784978","C73CFED1-5618-45BA-8186-08DAFF1D643C","west valley city","UT","84119","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","ronnastephens1@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","C73CFED1-5618-45BA-8186-08DAFF1D643C","2024-04-19 23:00:00","","2023-04-25 18:21:25.632087"
